,LabelValue,Mean,Min,Max,Variance,Count,Volume,Mass,x,y,z,t
62,0.0,1.749009030450964e-05,0.0,0.07533098012208939,3.4921039384264265e-07,8204241.0,10255301.0,0.0,0.0,0.0,0.0,0.0
36,1002.0,0.017382615270024097,0.007634940091520548,0.03490301966667175,4.00440576384139e-05,135.0,168.75,2.346653061453253,-2.7048312591871277,-48.864328317663286,37.449189412411144,0.0
3,1003.0,0.02558846683750262,0.00552801787853241,0.059593118727207184,5.8943442429225215e-05,2416.0,3020.0,61.82173587940633,31.85411542761032,-30.59591149410185,57.698793125921036,0.0
58,1005.0,0.033019809087238394,0.004681392572820187,0.07079430669546127,0.0002053462303940997,1695.0,2118.75,55.968576402869076,2.767264115034083,58.89472143217414,10.009910647376458,0.0
47,1006.0,0.015324303561133183,0.0017622940940782428,0.04304266721010208,5.956099500435437e-05,1453.0,1816.25,22.266213074326515,12.247172160144379,-25.842845786417136,-19.541690615205404,0.0
20,1007.0,0.02938280836285135,0.0042565083131194115,0.0885729119181633,0.000241366946531852,2187.0,2733.75,64.2602018895559,36.55393085013266,15.305833863832179,-22.972619773492603,0.0
10,1008.0,0.04529583479477066,0.001978145679458976,0.08264143764972687,0.00021725951507332446,5454.0,6817.5,247.04348297067918,43.411955368456944,39.797021244071544,20.132966829231894,0.0
23,1009.0,0.0314616023971378,0.00047576462384313345,0.08996859192848206,0.00040999338632359154,7034.0,8792.5,221.30091126146726,42.585732891398486,5.829284557537859,-30.961417430470004,0.0
51,1010.0,0.020741376652236666,0.002038312144577503,0.04705527797341347,9.179116998680187e-05,908.0,1135.0,18.833170000230893,0.7758543761422149,5.595159086184723,9.412651417170498,0.0
17,1011.0,0.03182092203381441,6.362306885421276e-05,0.1036149337887764,0.0004430032701748781,9341.0,11676.25,297.23923271786043,27.617240591896746,50.07522167795259,-20.450681072953365,0.0
2,1012.0,0.034072857161071474,0.00250238087028265,0.07928749918937683,0.0002757158007816005,3440.0,4300.0,117.21062863408588,23.726396611007598,-59.99007417260042,-5.858675725805779,0.0
30,1013.0,0.02607815895219638,0.00020525993022602051,0.08982443064451218,0.00027353151741431434,2641.0,3301.25,68.87241779275064,6.638816186579033,42.16113989887287,-19.08834237817268,0.0
26,1014.0,0.02727678621317351,0.0016977841733023524,0.07358688116073608,0.00025726527117978816,1862.0,2327.5,50.789375928929076,1.9776289868968306,-62.01155021899625,4.045697352142859,0.0
24,1015.0,0.05304658731638905,0.007773524150252342,0.0944247618317604,0.00027060878188900497,6333.0,7916.25,335.94403747469187,54.53089132504334,-5.473952074739878,-9.704393763439198,0.0
57,1016.0,0.014368908977340226,0.00217499490827322,0.03949569910764694,5.687837059974258e-05,1505.0,1881.25,21.62520801089704,10.659697877644595,-0.8358221560924309,-7.927504433233544,0.0
31,1017.0,0.02030867708122565,0.008202940225601196,0.03499265015125275,3.64805869924197e-05,108.0,135.0,2.19333712477237,-1.9741253935940284,9.144826666706956,50.675821883842836,0.0
14,1018.0,0.029048942470231022,0.006081565748900175,0.054164912551641464,0.00012007471796418775,1047.0,1308.75,30.41424276633188,47.034337636727095,-39.015185374303876,25.881005595067098,0.0
21,1019.0,0.03009727539346057,0.008943394757807255,0.07068626582622528,0.0001274262166517842,1028.0,1285.0,30.939999104477465,43.1706258234825,-51.997959188578086,3.176209045279758,0.0
16,1020.0,0.033952762946994876,0.009147552773356438,0.07211657613515854,0.00014286198524327736,1656.0,2070.0,56.225775440223515,42.28676077439491,-60.917530203034026,19.18218018497671,0.0
44,1021.0,0.01923999090755136,0.0070504723116755486,0.03940632566809654,4.233350267530514e-05,159.0,198.75,3.059158554300666,9.76151706963229,54.62400193631088,-6.445987570330912,0.0
9,1022.0,0.02531644329721768,0.0025828033685684204,0.053457893431186676,0.00010384871955255389,4528.0,5660.0,114.63285524980165,33.44498018441102,5.476976206051358,48.59976970756694,0.0
35,1023.0,0.019845524904034708,0.01171231921762228,0.03132125735282898,2.5070248540703635e-05,46.0,57.5,0.9128941455855966,-3.1413359515788795,12.115507673681893,44.27747362211432,0.0
6,1024.0,0.026982904540130696,0.0041974554769694805,0.06956780701875687,0.00019258633313726692,3837.0,4796.25,103.53340472048149,31.15710874002759,-27.65327717772212,41.93483532847801,0.0
28,1025.0,0.023961391814252237,0.00454008299857378,0.05629463866353035,9.709873688823664e-05,1197.0,1496.25,28.68178600165993,0.2420684711205806,45.89081923697747,24.125913144646574,0.0
45,1026.0,0.02222458189173933,0.005628732964396477,0.051437608897686005,0.00011075956205585366,571.0,713.75,12.690236260183156,-0.7650332274522658,-64.67114846270262,24.573637878022748,0.0
7,1027.0,0.04612632382250304,0.011592471040785313,0.08414905518293381,0.0002322695371133684,5305.0,6631.25,244.70014787837863,34.69870362924507,-66.77966834414212,24.191482073077673,0.0
4,1028.0,0.034946507836921915,0.004782236181199551,0.07331641018390656,0.00020117286040817725,6952.0,8690.0,242.94812248228118,12.759815860037302,-64.03568653429085,47.47128025937551,0.0
13,1029.0,0.025196345626690545,0.00579844880849123,0.062342241406440735,9.719880912011772e-05,3687.0,4608.75,92.89892632560804,23.297854524376735,40.562251638019156,41.879138245459764,0.0
18,1030.0,0.03541925316303862,0.004067448433488607,0.08971014618873596,0.00038871653759342886,3499.0,4373.75,123.93196681747213,51.90548630444622,-21.15215306705247,2.028824128959991,0.0
11,1031.0,0.03241026105476328,0.004743859637528658,0.06777070462703705,0.0001506638268870724,2926.0,3657.5,94.83242384623736,49.408557914959715,14.45164816938419,33.244495829646304,0.0
61,1034.0,0.01351340407917041,0.003208689857274294,0.028151197358965874,2.8704686104471873e-05,206.0,257.5,2.7837612403091043,40.28386267759757,-9.634885955319033,16.770490301624328,0.0
0,1035.0,0.01778490009994058,0.002641464350745082,0.05528969690203667,5.1973466098664864e-05,812.0,1015.0,14.44133888115175,35.841344904523325,-28.485025520695324,10.295597309205535,0.0
25,2002.0,0.021335355837925753,0.006144649814814329,0.040826618671417236,6.855457493338537e-05,580.0,725.0,12.374506385996938,-6.5217139788338825,-48.69480543435604,39.126613735745536,0.0
56,2003.0,0.03123751525248858,0.007536442019045353,0.05785048007965088,0.00010074690133038204,699.0,873.75,21.835023161489516,-34.22520403106157,-31.734705899732802,61.42636409004271,0.0
