,LabelValue,Mean,Min,Max,Variance,Count,Volume,Mass,x,y,z,t
47,0.0,1.1191063840805797e-05,0.0,0.07500538229942322,2.2275559049800384e-07,8156464.0,10195580.0,0.0,0.0,0.0,0.0,0.0
33,1002.0,0.01941752505205971,0.001273361616767943,0.05205964669585228,0.00015329731180823203,280.0,350.0,5.436907014576718,-2.189446070448407,-39.49778814686738,40.37498726906531,0.0
57,1003.0,0.04464809606031027,0.004123072139918804,0.07316642999649048,0.00016630743850318527,3429.0,4286.25,153.0983213908039,30.20651069367997,-19.58916011352382,61.44907008697878,0.0
35,1005.0,0.024389866569959465,0.005202004220336676,0.05528436601161957,9.665147640991997e-05,1343.0,1678.75,32.75559080345556,1.8785065134226342,59.18999931227539,19.409144047481387,0.0
54,1006.0,0.021681088823374935,0.0018986361101269722,0.0724947601556778,0.00016163452169650847,993.0,1241.25,21.52932120161131,15.026189556808722,-27.25941413670836,-19.78353738635466,0.0
53,1007.0,0.038838207994976705,0.0009114002459682524,0.10454994440078735,0.0006838117566514547,4081.0,5101.25,158.49872682749992,31.451163232845044,20.993943138139873,-29.918908275196113,0.0
52,1008.0,0.04399172872218159,0.007925305515527725,0.08967598527669907,0.0001629721514948348,9189.0,11486.25,404.23999522812665,40.338911004434216,40.719541666001746,25.83920024978822,0.0
1,1009.0,0.04650633513592496,3.5731187381315976e-05,0.10444742441177368,0.00048630880960309086,10262.0,12827.5,477.24801116486196,43.82749304614656,10.444056235743075,-29.80973732261212,0.0
28,1010.0,0.023903207157272847,0.003997968044131994,0.04415981099009514,9.242245098315515e-05,200.0,250.0,4.780641431454569,0.8631150253798628,16.01626912832002,9.183985325545878,0.0
49,1011.0,0.04136403058604309,3.402147558517754e-05,0.10377796739339828,0.00043701817818772234,12222.0,15277.5,505.5511818226187,25.631268899074016,41.63341969244048,-15.071805545678007,0.0
61,1012.0,0.043819645090561576,0.002112883608788252,0.09246423840522766,0.00043439958948286256,4624.0,5780.0,202.62203889875673,18.98702205256607,-64.35727595236007,-1.694905384109119,0.0
31,1013.0,0.028792829516380698,0.0049493154510855675,0.062498707324266434,0.00014794256236040675,1816.0,2270.0,52.287778401747346,6.358412387407662,38.43349984590979,-12.094543709206553,0.0
32,1014.0,0.03949772398986177,0.004878685809671879,0.08867308497428894,0.00038245059995984716,1522.0,1902.5,60.11553591256961,1.3587144594445,-68.7558871129369,2.9974231506039377,0.0
12,1015.0,0.055122178523843254,0.007893200032413006,0.09936942160129547,0.0002445008316671824,7741.0,9676.25,426.70078395307064,55.48891505615466,-7.327534063183554,-9.459766913522083,0.0
45,1016.0,0.016042689459362283,0.0014398375060409307,0.0640159547328949,0.0001243619085242097,877.0,1096.25,14.069438655860722,13.23755671620797,-1.3095286857655013,-7.73345256795559,0.0
36,1017.0,0.01882948613642356,0.003150806063786149,0.03508777543902397,4.329375040003681e-05,358.0,447.5,6.740956036839634,1.102381026837239,9.418900828382302,49.65460970003766,0.0
3,1018.0,0.04011661787337174,0.008501103147864342,0.06959941238164902,0.0001920709672033965,982.0,1227.5,39.39451875165105,46.84971854958678,-40.22430113662914,21.807123864267805,0.0
44,1019.0,0.06078915656451686,0.004321584012359381,0.10538052022457123,0.00048246105543295304,1861.0,2326.25,113.12862036656588,38.94053871185848,-55.54308232003478,-2.848121905927224,0.0
41,1020.0,0.03891627338855247,0.005240282043814659,0.07328273355960846,0.00018473608391556028,2004.0,2505.0,77.98821187065914,43.643652588096124,-56.89766876828209,19.497639173979564,0.0
5,1022.0,0.02832969839679685,0.007629848085343838,0.06066303327679634,0.0001607735448910816,1870.0,2337.5,52.97653600201011,33.443416878968065,2.5399580329161933,43.48724264755715,0.0
