,LabelValue,Mean,Min,Max,Variance,Count,Volume,Mass,x,y,z,t
62,0.0,2.481906874614442e-05,0.0,0.07692433893680573,5.384589074087851e-07,8215097.0,10268871.0,0.0,0.0,0.0,0.0,0.0
11,1002.0,0.0211725642818671,0.005041854456067085,0.04582883417606354,9.653522780952288e-05,650.0,812.5,13.762166783213615,1.059371631739889,-40.72795448241488,40.499973336580304,0.0
2,1003.0,0.024321332357522814,0.0030827175360172987,0.0582466721534729,8.894871043394288e-05,990.0,1237.5,24.078119033947587,31.37303132279989,-32.32343324585667,55.110350128106916,0.0
5,1005.0,0.022349176784977318,0.004268640652298927,0.06356705725193024,8.84887136548996e-05,1750.0,2187.5,39.111059373710304,2.087564228826492,52.710430242267385,10.514767857933657,0.0
42,1006.0,0.019845151196063903,0.0013847227673977613,0.09467075020074844,0.0001252009052140656,1709.0,2136.25,33.91536339407321,14.139517659557775,-23.46982291822672,-15.912450232894404,0.0
55,1007.0,0.03056402039442412,0.007062917109578848,0.06970102339982986,0.00013353204998002374,1765.0,2206.25,53.94549599615857,32.154972569995635,21.744807677512203,-18.544385473659933,0.0
3,1008.0,0.03574636688966949,0.005197932943701744,0.06935974955558777,0.00015012254784172097,5278.0,6597.5,188.66932444367558,41.43135397566577,41.08643114727651,26.135079416593268,0.0
61,1009.0,0.033258156571451994,0.003652175422757864,0.0832664743065834,0.0001585759422957308,3823.0,4778.75,127.14593257266097,42.675175050434454,-1.6925582257215728,-21.798452048088755,0.0
33,1010.0,0.03990034944349036,0.011565584689378738,0.08589527755975723,0.00026417765073902873,194.0,242.5,7.740667792037129,-0.6450921892363825,18.27353215742916,20.885604887467974,0.0
39,1011.0,0.02425932949963973,5.2781266276724637e-05,0.08344218134880066,0.00035592154083158306,11758.0,14697.5,285.24119625676394,28.845751857029374,43.87865161993172,-21.875505216656922,0.0
0,1012.0,0.02821363076864622,0.002160352421924472,0.10193897038698196,0.00021489390105227957,3757.0,4696.25,105.99861079780385,22.453071990479128,-58.83322815003947,-3.4110503022168186,0.0
36,1013.0,0.025150518239443642,1.4435631783271674e-05,0.08850202709436417,0.00031934877473834076,6301.0,7876.25,158.4734154267344,4.138622068622092,34.275492830487394,-29.420165228887296,0.0
48,1014.0,0.021378847235294443,0.0018571782857179642,0.07813607901334763,0.0001810445546957987,3447.0,4308.75,73.69288642005995,-0.06442843383812433,-48.77117215461936,7.15259937945451,0.0
54,1015.0,0.036423843206165506,0.007314026355743408,0.08218654990196228,0.00017777888675019418,3818.0,4772.5,139.0662333611399,51.615291567562686,0.11753901844151177,-7.4598021592358075,0.0
50,1016.0,0.017027220243000633,0.0004999844240956008,0.05530376732349396,8.90553281764739e-05,4393.0,5491.25,74.80057852750178,7.3492441065320655,1.9608053710740923,-15.596562698851471,0.0
13,1017.0,0.01635872790583708,0.004693968221545219,0.039471305906772614,4.104036030204915e-05,2096.0,2620.0,34.28789369063452,-2.1277756924793665,7.727344351806733,61.33661502139197,0.0
7,1018.0,0.02247218922803215,0.009346936829388142,0.04488976299762726,6.506875982708414e-05,204.0,255.0,4.5843266025185585,42.0690885896947,-39.592902834378044,19.712231645666442,0.0
14,1019.0,0.02362399309524335,0.007732117082923651,0.05173255503177643,9.3952973971747e-05,400.0,500.0,9.44959723809734,39.62803916136791,-47.90655127600914,3.07412729807068,0.0
58,1020.0,0.02498447664280382,0.005443839356303215,0.0608908012509346,7.471307173009052e-05,1559.0,1948.75,38.950799086131155,44.05538074374621,-53.20480168814433,20.54115995442739,0.0
18,1021.0,0.021981840164972895,0.008651675656437874,0.05247828736901283,5.889571820322547e-05,332.0,415.0,7.297970934771001,7.959561883073502,46.532623646468295,1.1536356882185095,0.0
57,1022.0,0.02108099856746646,0.0027783415280282497,0.05488709360361099,0.00010530846828969709,2561.0,3201.25,53.9884373312816,40.49338883796408,-3.0598695129882647,45.92189927941697,0.0
16,1023.0,0.023706379188879405,0.004603911191225052,0.04722011461853981,6.231686347031529e-05,697.0,871.25,16.523346294648945,-0.3789501402687258,-4.770632468953891,44.0299361194946,0.0
59,1024.0,0.019372070217340626,0.0028277200181037188,0.05336441472172737,5.778607301439777e-05,2265.0,2831.25,43.87773904227652,39.739223811098476,-17.72035011652945,43.662354552850104,0.0
47,1025.0,0.02207151989623329,0.004523857496678829,0.05021331459283829,6.823005873055546e-05,4068.0,5085.0,89.78694293787703,4.402671048985751,33.48525775104702,44.30188659671117,0.0
22,1026.0,0.020634876421756626,0.0028976923786103725,0.03979938104748726,6.314037875675085e-05,502.0,627.5,10.358707963721827,-0.8397454078568999,-59.30335456365536,19.530931671932137,0.0
60,1027.0,0.03353991298921971,0.006635366473346949,0.08419986069202423,0.0002016474349381783,3573.0,4466.25,119.83810911048204,37.250468412031765,-61.582093635966736,29.100819335245276,0.0
4,1028.0,0.03212416693268423,0.003906382713466883,0.07848756015300751,0.00018291707259180515,9692.0,12115.0,311.34742591157556,10.407166701541943,-60.56997261289446,46.4793850936839,0.0
44,1029.0,0.024475440476276523,0.0031281746923923492,0.06833778321743011,0.00011633328420541516,2742.0,3427.5,67.11165778595023,20.59274596433264,45.96224911932615,38.26807661762286,0.0
37,1030.0,0.026091258764722083,0.003201583167538047,0.0738016664981842,0.00013432799759891271,3577.0,4471.25,93.3284326014109,48.41696968184918,-18.61823026460154,0.5256517006862446,0.0
40,1031.0,0.027462378997746964,0.005862204823642969,0.06397242099046707,0.00010182765974162651,2704.0,3380.0,74.2582728099078,48.20040651658421,11.098225525410784,37.32448981024255,0.0
9,1034.0,0.016299659770447762,0.004324347246438265,0.043410301208496094,7.928472349015305e-05,160.0,200.0,2.6079455632716417,40.567385368824056,-6.802324953189704,15.993310061756366,0.0
51,1035.0,0.021728499422818924,0.005160546395927668,0.04884438216686249,6.62339993815396e-05,888.0,1110.0,19.294907487463206,35.35016147580273,-24.90328654637162,13.56931060286157,0.0
53,2002.0,0.025757105666257087,0.008262331597507,0.05272141471505165,9.566626188764769e-05,588.0,735.0,15.145178131759167,-5.708245647590507,-44.57640174832243,39.69095305722255,0.0
49,2003.0,0.026210591871763844,0.004966487176716328,0.06140615791082382,0.00012640149440040123,1167.0,1458.75,30.587760714348406,-33.901105702675046,-35.547189137112774,56.587896944665964,0.0
52,2005.0,0.02072440902562905,0.005169515497982502,0.05378679931163788,9.23316426898475e-05,1501.0,1876.25,31.107337947469205,-6.268239939801641,51.77347709048417,7.767815408261601,0.0
15,2006.0,0.024850360312422323,0.0023917146027088165,0.06428848206996918,0.00016313390364316527,1783.0,2228.75,44.308192437049,-16.763604207077773,-26.184660851066205,-16.049036091767398,0.0
6,2007.0,0.022449897535065978,1.1173398206665297e-06,0.08020244538784027,0.00024560693228557176,5146.0,6432.5,115.52717271544952,-34.76024568360321,10.370627245369674,-33.255769922193195,0.0
19,2008.0,0.04028191068097998,0.0033705972600728273,0.08662039041519165,0.00030333401129765497,6878.0,8597.5,277.0589816637803,-38.277105086815794,44.995065422967016,22.731538807560415,0.0
56,2009.0,0.03837789803910195,0.00721279950812459,0.08713756501674652,0.00023026257136405447,4812.0,6015.0,184.6744453641586,-48.57935243019535,-8.172337625922296,-21.052609337343284,0.0
17,2010.0,0.027885214228006185,0.0029654563404619694,0.10492568463087082,0.00041391217451102933,2096.0,2620.0,58.44740902190097,-7.2976152192382,4.553704834804377,6.101039729402163,0.0
1,2011.0,0.025448132521242645,3.881125394400442e-07,0.08469443768262863,0.00035076281134373684,11511.0,14388.75,292.9334534520241,-32.645785251712944,47.486179859901846,-19.041812986051955,0.0
46,2012.0,0.03273354554166088,0.0017685749335214496,0.07788677513599396,0.0001925050976478101,4410.0,5512.5,144.3549358387245,-29.810776331396493,-63.52369857205255,-2.2972575465303047,0.0
21,2013.0,0.03304282493590803,5.879273317077605e-07,0.09621476382017136,0.0004023471052137574,3817.0,4771.25,126.12446278036094,-10.95171253088507,38.09515462131601,-18.8954184584874,0.0
10,2014.0,0.023145896072612783,0.0022382934112101793,0.05817118287086487,0.0001226281511319019,1282.0,1602.5,29.673038765089586,-4.685784762698691,-62.54545249769981,4.234775790616169,0.0
45,2015.0,0.034904431962110356,0.003636317327618599,0.08237629383802414,0.0002517033300386894,3675.0,4593.75,128.27378746075556,-57.35037409720343,-0.7530113206458338,-4.132233905185649,0.0
