,LabelValue,Mean,Min,Max,Variance,Count,Volume,Mass,x,y,z,t
60,0.0,1.0524427568487392e-05,0.0,0.0527009591460228,1.82868335068323e-07,8148643.0,10185804.0,0.0,0.0,0.0,0.0,0.0
43,1002.0,0.016272008911108794,0.0054514361545443535,0.031875476241111755,3.5405501835271605e-05,335.0,418.75,5.451122985221446,0.032033576483910114,-39.137359286626236,42.70020795588792,0.0
58,1003.0,0.03552816601304358,0.005859583616256714,0.07474154233932495,0.0001626695394896232,2888.0,3610.0,102.60534344566986,31.518999659970685,-29.765673124851048,59.114282978542484,0.0
32,1005.0,0.025979471517330044,0.007114541716873646,0.05615311488509178,0.0001365777822641595,1108.0,1385.0,28.785254441201687,1.7052555729497991,54.8996156014625,3.6591440978567458,0.0
6,1006.0,0.015078666787125388,0.001537889358587563,0.0471770316362381,6.300000974347546e-05,1062.0,1327.5,16.01354412792716,11.48179149005872,-25.633292110295404,-18.278527692714054,0.0
9,1007.0,0.044266415223589047,0.0009442412992939353,0.10562726110219955,0.0003318378510178651,5824.0,7280.0,257.8076022621826,36.318116503840564,25.339033999779073,-28.850269265213424,0.0
54,1008.0,0.05109538227957677,0.0074812560342252254,0.09484520554542542,0.00022780965157793255,10543.0,13178.75,538.6986153735779,38.283188952065515,41.90739087402075,23.594653320537287,0.0
46,1009.0,0.04146364512176361,0.0001675357052590698,0.09650397300720215,0.0004525047840044935,7527.0,9408.75,312.09685683151474,42.55449874501715,3.796836231828103,-27.63611943780929,0.0
16,1010.0,0.021409031233054286,0.007937269285321236,0.03461352363228798,3.886259234354268e-05,467.0,583.75,9.998017585836351,2.1401194290526226,11.58590921397746,3.272405122067304,0.0
59,1011.0,0.04773481747360044,0.0001628848403925076,0.11380113661289215,0.00046232674687843984,13595.0,16993.75,648.954843553598,24.867014389477674,49.93635982248999,-18.026850093701952,0.0
62,1012.0,0.0345746845190809,0.0010603449773043394,0.10980850458145142,0.0004300162261210433,4194.0,5242.5,145.0062268730253,19.0890389455201,-62.749825923270706,-4.2073177519344425,0.0
13,1013.0,0.027031253664688122,0.0008177346317097545,0.07701214402914047,0.00018345677181378256,4220.0,5275.0,114.07189046498388,3.7300969044808,33.02243106140841,-28.8378049547163,0.0
12,1014.0,0.025847617012458336,0.002413923852145672,0.0871162936091423,0.00015004486456050728,1532.0,1915.0,39.59854926308617,0.8052100767366986,-66.0553454104751,3.5000421691911185,0.0
